MNIST-USPS seed:0 {'acc': 0.994, 'nmi': 0.9830838134832482, 'pur': 0.994}
MNIST-USPS 100 10 {'acc': 0.9912, 'nmi': 0.9761113377392768, 'pur': 0.9912}
MNIST-USPS 100 100 {'acc': 0.9938, 'nmi': 0.9829870882187663, 'pur': 0.9938}
Fashion 0.01 0.01 {'acc': 0.9931, 'nmi': 0.9821585913319009, 'pur': 0.9931}
Fashion 0.01 0.1 {'acc': 0.9936, 'nmi': 0.9835122287074509, 'pur': 0.9936}
Fashion 0.01 1.0 {'acc': 0.7949, 'nmi': 0.908477319467056, 'pur': 0.8}
Fashion 0.01 10 {'acc': 0.3998, 'nmi': 0.5880806481952182, 'pur': 0.4174}
Fashion 0.01 100 {'acc': 0.4074, 'nmi': 0.4154175877636374, 'pur': 0.4244}
Fashion 0.1 0.01 {'acc': 0.9943, 'nmi': 0.9845481225246144, 'pur': 0.9943}
Fashion 0.1 0.1 {'acc': 0.9938, 'nmi': 0.9836749828679429, 'pur': 0.9938}
Fashion 0.1 1.0 {'acc': 0.9931, 'nmi': 0.9826945381213141, 'pur': 0.9931}
Fashion 0.1 10 {'acc': 0.8989, 'nmi': 0.9503337217632963, 'pur': 0.8989}
Fashion 0.1 100 {'acc': 0.5021, 'nmi': 0.7144914196774871, 'pur': 0.5094}
Fashion 1.0 0.01 {'acc': 0.9927, 'nmi': 0.9812405314460392, 'pur': 0.9927}
Fashion 1.0 0.1 {'acc': 0.9939, 'nmi': 0.9837702422487985, 'pur': 0.9939}
Fashion 1.0 1.0 {'acc': 0.9933, 'nmi': 0.9829371983697326, 'pur': 0.9933}
Fashion 1.0 10 {'acc': 0.9935, 'nmi': 0.9830440050204917, 'pur': 0.9935}
Fashion 1.0 100 {'acc': 0.7946, 'nmi': 0.8811816414799145, 'pur': 0.7964}
Fashion 10 0.01 {'acc': 0.9894, 'nmi': 0.974635993748943, 'pur': 0.9894}
Fashion 10 0.1 {'acc': 0.9899, 'nmi': 0.9755967307391908, 'pur': 0.9899}
Fashion 10 1.0 {'acc': 0.9899, 'nmi': 0.9749387279378655, 'pur': 0.9899}
Fashion 10 10 {'acc': 0.9919, 'nmi': 0.9794836956349438, 'pur': 0.9919}
Fashion 10 100 {'acc': 0.9909, 'nmi': 0.9775446567970508, 'pur': 0.9909}
Fashion 100 0.01 {'acc': 0.8643, 'nmi': 0.9235027608337248, 'pur': 0.8772}
Fashion 100 0.1 {'acc': 0.8666, 'nmi': 0.9269109530682303, 'pur': 0.8784}
Fashion 100 1.0 {'acc': 0.8685, 'nmi': 0.9292983334231368, 'pur': 0.8776}
Fashion 100 10 {'acc': 0.8638, 'nmi': 0.9261483852808587, 'pur': 0.8791}
Fashion 100 100 {'acc': 0.9906, 'nmi': 0.9763327817226092, 'pur': 0.9906}
MNIST-USPS 1.0 10.0 {'acc': 0.9962, 'nmi': 0.9886240759276833, 'pur': 0.9962}
MNIST-USPS 1.0 10.0 {'acc': 0.9966, 'nmi': 0.990072407823558, 'pur': 0.9966}
MNIST-USPS 1.0 10.0 {'acc': 0.9968, 'nmi': 0.9908189483766673, 'pur': 0.9968}
MNIST-USPS 1.0 10.0 {'acc': 0.9962, 'nmi': 0.9891575338936812, 'pur': 0.9962}
MNIST-USPS 1.0 10.0 {'acc': 0.9964, 'nmi': 0.9896873674352095, 'pur': 0.9964}
MNIST-USPS 1.0 1.0 {'acc': 0.9942, 'nmi': 0.9839473400852647, 'pur': 0.9942}
MNIST-USPS 1.0 1.0 {'acc': 0.9958, 'nmi': 0.9878075755470952, 'pur': 0.9958}
MNIST-USPS 1.0 1.0 {'acc': 0.9958, 'nmi': 0.9881927616019576, 'pur': 0.9958}
MNIST-USPS 1.0 1.0 {'acc': 0.9944, 'nmi': 0.9834701198227102, 'pur': 0.9944}
MNIST-USPS 1.0 1.0 {'acc': 0.9956, 'nmi': 0.9868657484156766, 'pur': 0.9956}
Fashion 0.1 0.001 {'acc': 0.8242, 'nmi': 0.8705754183865452, 'pur': 0.8726}
Fashion 0.1 0.001 {'acc': 0.9935, 'nmi': 0.9833067809251209, 'pur': 0.9935}
Fashion 0.1 0.001 {'acc': 0.9947, 'nmi': 0.9858532208350832, 'pur': 0.9947}
Fashion 0.1 0.001 {'acc': 0.9938, 'nmi': 0.983973894214329, 'pur': 0.9938}
Fashion 0.1 0.001 {'acc': 0.9943, 'nmi': 0.9849682683998764, 'pur': 0.9943}
MNIST-USPS 1.0 10.0 {'acc': 0.9968, 'nmi': 0.9908189483766673, 'pur': 0.9968}
MNIST-USPS 1.0 10.0 {'acc': 0.9968, 'nmi': 0.9908189483766673, 'pur': 0.9968}
MNIST-USPS 1.0 10.0 {'acc': 0.4976, 'nmi': 0.6700822735437952, 'pur': 0.5034}
Fashion 0.1 0.001 {'acc': 0.5638, 'nmi': 0.6960535595559376, 'pur': 0.5778}
Fashion 0.1 0.001 {'acc': 0.9947, 'nmi': 0.9858532208350832, 'pur': 0.9947}
Fashion 0.1 0.001 {'acc': 0.5638, 'nmi': 0.6960535595559376, 'pur': 0.5778}
MNIST-USPS 1.0 10.0 {'acc': 0.4976, 'nmi': 0.6700822735437952, 'pur': 0.5034}
MNIST-USPS 1.0 10.0 {'acc': 0.9968, 'nmi': 0.9908189483766673, 'pur': 0.9968}
BDGP 1.0 1.0 {'acc': 0.5236, 'nmi': 0.48296586444234213, 'pur': 0.5864}
BDGP 1.0 1.0 {'acc': 0.9936, 'nmi': 0.9799360503452945, 'pur': 0.9936}
BDGP 1.0 1.0 {'acc': 0.9904, 'nmi': 0.9674884022217389, 'pur': 0.9904}
MNIST-USPS 1.0 10.0 {'acc': 0.9948, 'nmi': 0.9848195411125544, 'pur': 0.9948}
Caltech-2V 0.1 0.1 {'acc': 0.5992857142857143, 'nmi': 0.5136309124179843, 'pur': 0.6057142857142858}
Caltech-2V 0.1 0.1 {'acc': 0.585, 'nmi': 0.5151183336517049, 'pur': 0.6385714285714286}
Caltech-2V 0.1 0.1 {'acc': 0.5692857142857143, 'nmi': 0.47195856299788386, 'pur': 0.5935714285714285}
Caltech-2V 0.1 0.1 {'acc': 0.5692857142857143, 'nmi': 0.47195856299788386, 'pur': 0.5935714285714285}
Caltech-2V 0.1 0.1 {'acc': 0.67, 'nmi': 0.5441733894079993, 'pur': 0.67}
Caltech-5V 0.1 0.1 {'acc': 0.8978571428571429, 'nmi': 0.8308507744607068, 'pur': 0.8978571428571429}
Caltech-5V 0.1 0.1 {'acc': 0.7492857142857143, 'nmi': 0.6999792376442644, 'pur': 0.75}
Caltech-5V 0.1 0.1 {'acc': 0.8978571428571429, 'nmi': 0.8308507744607068, 'pur': 0.8978571428571429}
Caltech-2V 0.1 0.1 {'acc': 0.67, 'nmi': 0.5441733894079993, 'pur': 0.67}
Caltech-2V 0.1 0.1 {'acc': 0.6092857142857143, 'nmi': 0.5161200283079325, 'pur': 0.6107142857142858}
MNIST-USPS 1.0 10.0 {'acc': 0.9948, 'nmi': 0.9848195411125544, 'pur': 0.9948}
MNIST-USPS 1.0 10.0 {'acc': 0.9948, 'nmi': 0.9848195411125544, 'pur': 0.9948}
MNIST-USPS 1.0 10.0 {'acc': 0.9966, 'nmi': 0.9900421921926884, 'pur': 0.9966}
BDGP 1.0 1.0 {'acc': 0.9904, 'nmi': 0.9674884022217389, 'pur': 0.9904}
BDGP 1.0 1.0 {'acc': 0.99, 'nmi': 0.9664932733785231, 'pur': 0.99}
BDGP 1.0 10.0 {'acc': 0.952, 'nmi': 0.8693839953668684, 'pur': 0.952}
Fashion 0.1 0.001 {'acc': 0.9896, 'nmi': 0.9748815925445, 'pur': 0.9896}
Fashion 1 0.001 {'acc': 0.9931, 'nmi': 0.9828069446426536, 'pur': 0.9931}
Fashion 1 1 {'acc': 0.9928, 'nmi': 0.9811497072272357, 'pur': 0.9928}
MNIST-USPS 1.0 10.0 {'acc': 0.9968, 'nmi': 0.9908189483766673, 'pur': 0.9968}
BDGP 1.0 1.0 {'acc': 0.9936, 'nmi': 0.9799360503452945, 'pur': 0.9936}
Fashion 0.1 0.001 {'acc': 0.985, 'nmi': 0.9682824858100004, 'pur': 0.985}
Fashion 1 1 {'acc': 0.9933, 'nmi': 0.9829371983697326, 'pur': 0.9933}
