dataset,lambda1,lambda2,ACC,NMI,PUR
Caltech_4V,0.1,0.1,0.6592857142857143,0.6586764472175133,0.6964285714285714
Caltech_4V,0.1,0.1,0.6592857142857143,0.6586764472175133,0.6964285714285714
Caltech_5V,0.1,0.1,0.84,0.7783601234140808,0.84
Caltech_5V,0.1,0.1,0.7721428571428571,0.6840081517877634,0.7721428571428571
Caltech_5V,0.1,0.1,0.84,0.7783601234140808,0.84
Caltech_3V,0.1,0.1,0.7464285714285714,0.6538771169445668,0.7478571428571429
Caltech_4V,0.1,0.1,0.6592857142857143,0.6586764472175133,0.6964285714285714
Caltech_4V,0.1,0.1,0.8392857142857143,0.7579481624026398,0.8392857142857143
CCV,1.0,1.0,0.32969142182194006,0.32339217661858716,0.3794478074708401
Caltech_2V,0.1,0.1,0.4492857142857143,0.3168172421528358,0.46214285714285713
Caltech_2V,0.1,0.1,0.6385714285714286,0.5262311522180838,0.6385714285714286
Caltech_2V,0.1,0.1,0.4492857142857143,0.3168172421528358,0.46214285714285713
Caltech_2V,0.1,0.1,0.6385714285714286,0.5262311522180838,0.6385714285714286
Caltech_2V,0.1,0.1,0.4492857142857143,0.3168172421528358,0.46214285714285713
Caltech_2V,0.1,0.1,0.67,0.5441733894079993,0.67
Caltech_2V,0.1,0.1,0.6385714285714286,0.5262311522180838,0.6385714285714286
